image_name,source_type,source_id,source_path
moving_frame_0011.png,moving,frame_0011,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0011.png
moving_frame_0012.png,moving,frame_0012,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0012.png
moving_frame_0013.png,moving,frame_0013,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0013.png
moving_frame_0014.png,moving,frame_0014,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0014.png
moving_frame_0015.png,moving,frame_0015,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0015.png
moving_frame_0016.png,moving,frame_0016,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0016.png
moving_frame_0017.png,moving,frame_0017,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0017.png
moving_frame_0018.png,moving,frame_0018,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0018.png
moving_frame_0019.png,moving,frame_0019,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0019.png
moving_frame_0020.png,moving,frame_0020,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0020.png
moving_frame_0021.png,moving,frame_0021,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0021.png
moving_frame_0022.png,moving,frame_0022,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0022.png
moving_frame_0023.png,moving,frame_0023,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0023.png
moving_frame_0024.png,moving,frame_0024,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0024.png
moving_frame_0025.png,moving,frame_0025,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0025.png
moving_frame_0026.png,moving,frame_0026,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0026.png
moving_frame_0027.png,moving,frame_0027,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0027.png
moving_frame_0028.png,moving,frame_0028,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0028.png
moving_frame_0029.png,moving,frame_0029,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0029.png
moving_frame_0030.png,moving,frame_0030,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0030.png
moving_frame_0031.png,moving,frame_0031,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0031.png
moving_frame_0032.png,moving,frame_0032,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0032.png
moving_frame_0033.png,moving,frame_0033,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0033.png
moving_frame_0034.png,moving,frame_0034,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0034.png
moving_frame_0035.png,moving,frame_0035,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0035.png
moving_frame_0036.png,moving,frame_0036,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0036.png
moving_frame_0037.png,moving,frame_0037,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0037.png
moving_frame_0038.png,moving,frame_0038,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0038.png
moving_frame_0039.png,moving,frame_0039,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0039.png
moving_frame_0040.png,moving,frame_0040,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0040.png
moving_frame_0041.png,moving,frame_0041,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0041.png
moving_frame_0042.png,moving,frame_0042,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0042.png
moving_frame_0043.png,moving,frame_0043,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0043.png
moving_frame_0044.png,moving,frame_0044,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0044.png
moving_frame_0045.png,moving,frame_0045,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0045.png
moving_frame_0046.png,moving,frame_0046,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0046.png
moving_frame_0047.png,moving,frame_0047,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0047.png
moving_frame_0048.png,moving,frame_0048,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0048.png
moving_frame_0049.png,moving,frame_0049,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0049.png
moving_frame_0050.png,moving,frame_0050,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0050.png
moving_frame_0051.png,moving,frame_0051,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0051.png
moving_frame_0052.png,moving,frame_0052,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0052.png
moving_frame_0053.png,moving,frame_0053,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0053.png
moving_frame_0054.png,moving,frame_0054,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0054.png
moving_frame_0055.png,moving,frame_0055,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0055.png
moving_frame_0056.png,moving,frame_0056,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0056.png
moving_frame_0057.png,moving,frame_0057,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0057.png
moving_frame_0058.png,moving,frame_0058,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0058.png
moving_frame_0059.png,moving,frame_0059,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0059.png
moving_frame_0060.png,moving,frame_0060,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0060.png
moving_frame_0061.png,moving,frame_0061,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0061.png
moving_frame_0062.png,moving,frame_0062,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0062.png
moving_frame_0063.png,moving,frame_0063,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0063.png
moving_frame_0064.png,moving,frame_0064,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0064.png
moving_frame_0065.png,moving,frame_0065,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0065.png
moving_frame_0066.png,moving,frame_0066,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0066.png
moving_frame_0067.png,moving,frame_0067,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0067.png
moving_frame_0068.png,moving,frame_0068,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0068.png
moving_frame_0069.png,moving,frame_0069,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0069.png
moving_frame_0070.png,moving,frame_0070,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0070.png
moving_frame_0071.png,moving,frame_0071,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0071.png
moving_frame_0072.png,moving,frame_0072,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0072.png
moving_frame_0073.png,moving,frame_0073,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0073.png
moving_frame_0074.png,moving,frame_0074,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0074.png
moving_frame_0075.png,moving,frame_0075,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0075.png
moving_frame_0076.png,moving,frame_0076,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0076.png
moving_frame_0077.png,moving,frame_0077,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0077.png
moving_frame_0078.png,moving,frame_0078,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0078.png
moving_frame_0079.png,moving,frame_0079,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0079.png
moving_frame_0080.png,moving,frame_0080,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0080.png
moving_frame_0081.png,moving,frame_0081,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0081.png
moving_frame_0082.png,moving,frame_0082,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0082.png
moving_frame_0083.png,moving,frame_0083,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0083.png
moving_frame_0084.png,moving,frame_0084,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0084.png
moving_frame_0085.png,moving,frame_0085,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0085.png
moving_frame_0086.png,moving,frame_0086,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0086.png
moving_frame_0087.png,moving,frame_0087,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0087.png
moving_frame_0088.png,moving,frame_0088,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0088.png
moving_frame_0089.png,moving,frame_0089,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0089.png
moving_frame_0090.png,moving,frame_0090,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0090.png
moving_frame_0091.png,moving,frame_0091,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0091.png
moving_frame_0092.png,moving,frame_0092,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0092.png
moving_frame_0093.png,moving,frame_0093,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0093.png
moving_frame_0094.png,moving,frame_0094,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0094.png
moving_frame_0095.png,moving,frame_0095,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0095.png
moving_frame_0096.png,moving,frame_0096,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0096.png
moving_frame_0097.png,moving,frame_0097,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0097.png
moving_frame_0098.png,moving,frame_0098,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0098.png
moving_frame_0099.png,moving,frame_0099,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0099.png
moving_frame_0100.png,moving,frame_0100,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0100.png
moving_frame_0101.png,moving,frame_0101,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0101.png
moving_frame_0102.png,moving,frame_0102,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0102.png
moving_frame_0103.png,moving,frame_0103,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0103.png
moving_frame_0104.png,moving,frame_0104,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0104.png
moving_frame_0105.png,moving,frame_0105,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0105.png
moving_frame_0106.png,moving,frame_0106,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0106.png
moving_frame_0107.png,moving,frame_0107,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0107.png
moving_frame_0108.png,moving,frame_0108,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0108.png
moving_frame_0109.png,moving,frame_0109,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0109.png
moving_frame_0110.png,moving,frame_0110,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0110.png
moving_frame_0111.png,moving,frame_0111,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0111.png
moving_frame_0112.png,moving,frame_0112,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0112.png
moving_frame_0113.png,moving,frame_0113,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0113.png
moving_frame_0114.png,moving,frame_0114,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0114.png
moving_frame_0115.png,moving,frame_0115,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0115.png
moving_frame_0116.png,moving,frame_0116,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0116.png
moving_frame_0117.png,moving,frame_0117,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0117.png
moving_frame_0118.png,moving,frame_0118,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0118.png
moving_frame_0119.png,moving,frame_0119,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0119.png
moving_frame_0120.png,moving,frame_0120,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0120.png
moving_frame_0121.png,moving,frame_0121,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0121.png
moving_frame_0122.png,moving,frame_0122,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0122.png
moving_frame_0123.png,moving,frame_0123,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0123.png
moving_frame_0124.png,moving,frame_0124,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0124.png
moving_frame_0125.png,moving,frame_0125,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0125.png
moving_frame_0126.png,moving,frame_0126,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0126.png
moving_frame_0127.png,moving,frame_0127,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0127.png
moving_frame_0128.png,moving,frame_0128,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0128.png
moving_frame_0129.png,moving,frame_0129,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0129.png
moving_frame_0130.png,moving,frame_0130,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0130.png
moving_frame_0131.png,moving,frame_0131,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0131.png
moving_frame_0132.png,moving,frame_0132,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0132.png
moving_frame_0133.png,moving,frame_0133,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0133.png
moving_frame_0134.png,moving,frame_0134,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0134.png
moving_frame_0135.png,moving,frame_0135,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0135.png
moving_frame_0136.png,moving,frame_0136,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0136.png
moving_frame_0137.png,moving,frame_0137,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0137.png
moving_frame_0138.png,moving,frame_0138,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0138.png
moving_frame_0139.png,moving,frame_0139,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0139.png
moving_frame_0140.png,moving,frame_0140,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0140.png
moving_frame_0141.png,moving,frame_0141,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0141.png
moving_frame_0142.png,moving,frame_0142,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0142.png
moving_frame_0143.png,moving,frame_0143,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0143.png
moving_frame_0144.png,moving,frame_0144,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0144.png
moving_frame_0145.png,moving,frame_0145,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0145.png
moving_frame_0146.png,moving,frame_0146,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0146.png
moving_frame_0147.png,moving,frame_0147,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0147.png
moving_frame_0148.png,moving,frame_0148,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0148.png
moving_frame_0149.png,moving,frame_0149,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0149.png
moving_frame_0150.png,moving,frame_0150,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0150.png
moving_frame_0151.png,moving,frame_0151,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0151.png
moving_frame_0152.png,moving,frame_0152,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0152.png
moving_frame_0153.png,moving,frame_0153,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0153.png
moving_frame_0154.png,moving,frame_0154,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0154.png
moving_frame_0155.png,moving,frame_0155,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0155.png
moving_frame_0156.png,moving,frame_0156,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0156.png
moving_frame_0157.png,moving,frame_0157,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0157.png
moving_frame_0158.png,moving,frame_0158,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0158.png
moving_frame_0159.png,moving,frame_0159,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0159.png
moving_frame_0160.png,moving,frame_0160,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0160.png
moving_frame_0161.png,moving,frame_0161,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0161.png
moving_frame_0162.png,moving,frame_0162,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0162.png
moving_frame_0163.png,moving,frame_0163,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0163.png
moving_frame_0164.png,moving,frame_0164,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0164.png
moving_frame_0165.png,moving,frame_0165,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0165.png
moving_frame_0166.png,moving,frame_0166,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0166.png
moving_frame_0167.png,moving,frame_0167,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0167.png
moving_frame_0168.png,moving,frame_0168,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0168.png
moving_frame_0169.png,moving,frame_0169,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0169.png
moving_frame_0170.png,moving,frame_0170,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0170.png
moving_frame_0171.png,moving,frame_0171,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0171.png
moving_frame_0172.png,moving,frame_0172,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0172.png
moving_frame_0173.png,moving,frame_0173,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0173.png
moving_frame_0174.png,moving,frame_0174,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0174.png
moving_frame_0175.png,moving,frame_0175,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0175.png
moving_frame_0176.png,moving,frame_0176,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0176.png
moving_frame_0177.png,moving,frame_0177,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0177.png
moving_frame_0178.png,moving,frame_0178,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0178.png
moving_frame_0179.png,moving,frame_0179,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0179.png
moving_frame_0180.png,moving,frame_0180,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0180.png
moving_frame_0181.png,moving,frame_0181,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0181.png
moving_frame_0182.png,moving,frame_0182,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0182.png
moving_frame_0183.png,moving,frame_0183,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0183.png
moving_frame_0184.png,moving,frame_0184,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0184.png
moving_frame_0185.png,moving,frame_0185,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0185.png
moving_frame_0186.png,moving,frame_0186,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0186.png
moving_frame_0187.png,moving,frame_0187,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0187.png
moving_frame_0188.png,moving,frame_0188,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0188.png
moving_frame_0189.png,moving,frame_0189,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0189.png
moving_frame_0190.png,moving,frame_0190,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0190.png
moving_frame_0191.png,moving,frame_0191,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0191.png
moving_frame_0192.png,moving,frame_0192,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0192.png
moving_frame_0193.png,moving,frame_0193,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0193.png
moving_frame_0194.png,moving,frame_0194,results/bus_real_data/00_shared_baseline/bus_real_data_ref_marker_v1/raw_images/moving/frame_0194.png
